"COSERID"	"Canonical"	"Inverted"	"Total"
103	2	0	2
106	2	0	2
107	3	0	3
109	4	1	5
204	1	8	9
211	1	2	3
214	0	6	6
222	0	4	4
303	0	3	3
304	0	1	1
306	1	0	1
310	0	2	2
403	0	10	10
404	2	1	3
418	3	1	4
425	0	10	10
506	1	0	1
509	1	0	1
523	8	0	8
604	1	1	2
607	6	0	6
609	2	0	2
614	2	0	2
716	2	0	2
723	1	0	1
726	2	0	2
728	17	1	18
922	1	0	1
924	3	1	4
934	7	0	7
939	0	1	1
959	12	1	13
1012	2	0	2
1015	13	0	13
1020	0	1	1
1102	0	4	4
1107	0	1	1
1116	1	1	2
1121	1	6	7
1205	2	1	3
1212	1	0	1
1219	3	0	3
1228	1	0	1
1232	2	0	2
1307	1	0	1
1401	0	1	1
1414	0	3	3
1417	3	0	3
1503	0	4	4
1505	4	1	5
1514	0	4	4
1517	2	5	7
1603	0	1	1
1607	4	2	6
1634	1	0	1
1636	2	3	5
1823	0	8	8
1834	1	6	7
1838	0	1	1
1901	3	0	3
1902	0	1	1
1907	1	0	1
1921	3	1	4
2106	0	1	1
2107	6	0	6
2120	5	0	5
2122	6	0	6
2206	1	6	7
2207	2	1	3
2222	0	2	2
2229	2	5	7
2303	1	7	8
2314	0	3	3
2321	1	3	4
2501	3	0	3
2512	5	0	5
2515	1	0	1
2606	3	0	3
2627	1	3	4
2637	2	0	2
2644	3	0	3
2712	2	2	4
2907	3	1	4
2910	3	0	3
2914	0	1	1
3001	4	4	8
3002	1	3	4
3004	1	10	11
3009	0	4	4
3104	1	2	3
3106	0	1	1
3107	0	4	4
3109	0	2	2
3111	0	4	4
3203	2	0	2
3214	10	0	10
3222	3	2	5
3228	2	0	2
3412	0	1	1
3423	4	0	4
3426	5	1	6
3601	3	0	3
3611	2	0	2
3614	6	1	7
3706	1	3	4
3707	1	0	1
3712	0	1	1
3801	2	1	3
3806	0	7	7
3809	0	2	2
3814	0	1	1
3901	1	2	3
3916	0	4	4
3923	4	1	5
3924	1	1	2
4102	0	1	1
4108	0	3	3
4117	0	5	5
4128	4	0	4
4214	2	2	4
4214	2	2	4
4218	0	4	4
4227	0	4	4
4230	0	7	7
4301	6	0	6
4306	1	1	2
4310	1	12	13
4317	4	3	7
4318	0	2	2
4401	1	0	1
4403	1	0	1
4417	2	6	8
4419	0	1	1
4421	2	1	3
4501	10	0	10
4503	2	0	2
4504	1	0	1
4508	6	0	6
4602	1	0	1
4611	2	0	2
4613	7	0	7
4706	1	3	4
4714	0	2	2
4719	0	2	2
4720	2	0	2
