"Country";"Sistema_pronominal_1";"Sistema_pronominal_2"
"Cuba";"tuteo";
"Puerto Rico";"tuteo";
"Dominican Republic";"tuteo";
"Mexico";"tuteo";
"Chile";"convivencia";
"Bolivia";"convivencia";
"Ecuador";"tuteo";"voseo"
"Panama";"convivencia";
"Uruguay";"sistema_ternario";
"Costa Rica";"voseo";
"Nicaragua";"voseo";
"Guatemala";"voseo";
"Paraguay";"voseo";
"El Salvador";"voseo";
"Honduras";"voseo";
"Argentina";"voseo";
"Colombia";"tuteo";"voseo"
"Venezuela";"tuteo";"voseo"
"Peru";"tuteo";
"Spain";"tuteo";
