"AleiCAN"	"Nombre"	"haya_1_3sg"
"LP1"	"Garafía,La Palma,Islas Canarias"	"haiga"
"LP2"	"San Andrés,La Palma,Islas Canarias"	"haiga"
"LP3"	"El Paso,La Palma,Islas Canarias"	"haiga"
"LP10"	"Tijarafe,La Palma,Islas Canarias"	"haiga"
"LP20"	"Santa Cruz de la Palma,La Palma,Islas Canarias"	"haiga"
"LP30"	"Fuencaliente de la Palma,La Palma,Islas Canarias"	"haiga"
"Go2"	"Vallehermoso,Gomera,Islas Canarias"	"haiga"
"Go3"	"La Calera,Gomera,Islas Canarias"	"haiga"
"Go4"	"San Sebastián de la Gomera,Gomera,Islas Canarias"	"haiga"
"Go40"	"Alajeró,Gomera,Islas Canarias"	"haiga"
"Hi1"	"Frontera,Hierro,Islas Canarias"	"haiga"
"Hi2"	"Valverde,Hierro,Islas Canarias"	"ambos"
"Hi3"	"La Restinga,Hierro,Islas Canarias"	"haiga"
"Hi4"	"Taibique,Hierro,Islas Canarias"	"haiga"
"Hi10"	"Sabinosa,Hierro,Islas Canarias"	"haiga"
"Tf2"	"Roque de las Bodegas,Tenerife,Islas Canarias"	"haiga"
"Tf3"	"Los Silos,Tenerife,Islas Canarias"	"haiga"
"Tf4"	"La Orotava,Tenerife,Islas Canarias"	"haiga"
"Tf5"	"Vilaflor,Tenerife,Islas Canarias"	"haya"
"Tf6"	"El Médano,Tenerife,Islas Canarias"	"haiga"
"Tf20"	"La Laguna,Tenerife,Islas Canarias"	"haiga"
"Tf21"	"Santa Cruz de Tenerife,Tenerife,Islas Canarias"	"haiga"
"Tf30"	"Icod,Tenerife,Islas Canarias"	"haiga"
"Tf31"	"Guía de Isora,Tenerife,Islas Canarias"	"haiga"
"Tf40"	"Arafo,Tenerife,Islas Canarias"	"haiga"
"Tf41"	"Arico,Tenerife,Islas Canarias"	"haiga"
"Tf50"	"Los Cristianos,Tenerife,Islas Canarias"	"haiga"
"GC1"	"Guía,Gran Canaria,Islas Canarias"	"haiga"
"GC2"	"Las Palmas,Gran Canaria,Islas Canarias"	"haiga"
"GC3"	"Mogán,Gran Canaria,Islas Canarias"	"haiga"
"GC4"	"San Bartolomé de Tirajana,Gran Canaria,Islas Canarias"	"haiga"
"GC10"	"Agaete,Gran Canaria,Islas Canarias"	"haiga"
"GC11"	"Artenara,Gran Canaria,Islas Canarias"	"haiga"
"GC12"	"San Nicolás,Gran Canaria,Islas Canarias"	"haiga"
"GC20"	"Teror,Gran Canaria,Islas Canarias"	"haiga"
"GC30"	"Arguineguín,Gran Canaria,Islas Canarias"	"haiga"
"GC40"	"Aguimes,Gran Canaria,Islas Canarias"	"haiga"
"Fv1"	"Betancuria,Fuerteventura,Islas Canarias"	"haiga"
"Fv2"	"La Oliva,Fuerteventura,Islas Canarias"	"haiga"
"Fv3"	"Tuineje,Fuerteventura,Islas Canarias"	"haya"
"Fv20"	"Puerto del Rosario,Fuerteventura,Islas Canarias"	"haiga"
"Fv30"	"Morro Jable,Fuerteventura,Islas Canarias"	"haiga"
"Fv31"	"La Lajita,Fuerteventura,Islas Canarias"	"haiga"
"Lz1"	"Tiagua,Lanzarote,Islas Canarias"	"haiga"
"Lz2"	"Haría,Lanzarote,Islas Canarias"	"haya"
"Lz3"	"Femés,Lanzarote,Islas Canarias"	"haiga"
"Lz4"	"Arrecife,Lanzarote,Islas Canarias"	"haiga"
"Lz10"	"El Cuchillo,Lanzarote,Islas Canarias"	"haya"
"Lz20"	"Teguise,Lanzarote,Islas Canarias"	"haiga"
"Lz30"	"Puerto del Carmen,Lanzarote,Islas Canarias"	"haiga"
"Gs1"	"Caleta del Sebo,La Graciosa,Islas Canarias"	"haya"
